"Var1","Freq"
"06A",308
"06B",491
"06C",23
"07A",2
"07B",1
"07C",5
"07F",184
"09A",69
"09L",5
"09N",102
"09V",592
"1",136
"10A",40
"11A",113
"11B",2
"11C",2
"12A",1
"12F",297
"13",21
"14",1249
"15A",14
"15B",49
"15C",17
"15F",3
"16",72
"16F",30
"17",1
"17A",1
"17F",10
"18A",3
"18B",6
"18C",322
"18F",7
"19A",210
"19F",386
"20",33
"21",1
"22A",1
"22F",214
"23A",29
"23B",7
"23F",526
"24F",5
"28",1
"28A",1
"28F",2
"29",2
"3",278
"30",1
"31",35
"33",3
"33A",3
"33F",60
"34",15
"35B",37
"35F",37
"36",1
"37",1
"38",53
"4",759
"5",8
"8",62
"NT",24
