Taxon,Cluster
SRR11141800,1
SRR7175801,1
SRR11130203,1
ERR662306,1
ERR425495,1
SRR7189782,1
ERR433651,1
SRR7183596,1
ERR433627,1
SRR8725555,1
SRR8722577,1
ERR505847,1
ERR586407,1
SRR8726004,1
SRR7183882,1
ERR586444,1
SRR7189835,1
SRR3663470,1
SRR7190210,1
ERR505835,1
ERR433653,1
ERR586316,1
ERR876480,1
SRR3661259,1
SRR11129936,1
SRR11152941,1
ERR425443,1
ERR586400,1
ERR505794,1
SRR7183235,1
SRR7189916,1
SRR11141475,1
SRR8721946,1
ERR326577,1
SRR8725347,1
SRR3662926,1
SRR7190695,1
ERR568762,1
SRR11130886,1
SRR7190368,1
SRR7172163,1
SRR7176009,1
SRR7184070,1
SRR8726473,1
SRR7183634,1
SRR7190510,1
ERR425484,1
ERR433707,1
SRR7190212,1
SRR3661352,1
SRR3662391,1
SRR3662013,1
ERR742626,1
SRR7190140,1
SRR3662189,1
ERR449167,1
SRR7176673,1
ERR505786,1
SRR11130174,1
SRR3662215,1
SRR7183604,1
SRR3661580,1
ERR505753,1
ERR433706,1
SRR11152888,1
SRR7183615,1
SRR3661939,1
SRR8722091,1
SRR3663119,1
SRR3662308,1
SRR7183961,1
SRR3661215,1
SRR11130112,1
SRR3661509,1
ERR505791,1
ERR586420,1
SRR11130485,1
ERR425493,1
ERR505779,1
ERR425447,1
SRR11130391,1
ERR433977,1
SRR7175751,1
SRR11141223,1
SRR8726583,1
SRR8725886,1
SRR7183465,1
SRR11152943,1
ERR505766,1
SRR7183560,1
SRR11152976,1
ERR433992,1
ERR433919,1
SRR3662935,1
ERR505771,1
SRR11141269,1
SRR7176472,1
ERR433630,1
SRR8726116,1
SRR11140951,1
ERR505733,1
SRR3661586,1
SRR7175867,1
ERR505800,1
SRR11130733,1
SRR3663013,1
SRR7176380,1
SRR3662940,1
SRR3661668,1
ERR425475,1
ERR505774,1
SRR7184002,1
ERR578023,1
SRR3661260,1
SRR3661749,1
ERR586415,1
ERR506039,1
SRR8725873,1
SRR7189932,1
ERR433920,1
SRR3662129,1
ERR433643,1
SRR3662959,1
SRR7184061,1
SRR3662190,1
SRR3663134,1
SRR7183885,1
ERR586448,1
SRR3662142,1
SRR3662430,1
SRR8722500,1
ERR742628,1
SRR8726016,1
SRR3661585,1
ERR433991,1
SRR11141592,1
SRR3660609,1
ERR586456,1
SRR11129926,1
SRR3662477,1
ERR600106,1
SRR8721890,1
SRR8722679,1
SRR7183536,1
SRR11152517,1
SRR7176217,1
SRR11141753,1
SRR3661810,1
SRR3663068,1
SRR3661867,1
ERR586317,1
ERR586391,1
ERR506048,1
ERR586445,1
SRR7183375,1
SRR3660622,1
SRR3661377,1
SRR7172196,1
SRR8722275,1
SRR7183484,1
SRR8722310,1
SRR11130201,1
SRR7176473,1
SRR7190609,1
ERR505730,1
SRR8721919,1
SRR8725066,1
ERR433544,1
SRR8726037,1
ERR505748,1
SRR7183441,1
SRR8721932,1
SRR8725424,1
SRR8725418,1
ERR326542,1
ERR425474,1
SRR11152713,1
SRR8721959,1
SRR8726053,1
ERR742616,1
SRR8722248,1
SRR11140995,1
ERR433918,1
SRR7183663,1
SRR11152359,1
ERR506024,1
ERR506028,1
SRR3662054,1
SRR11129927,1
SRR7175771,1
SRR7183754,1
SRR11140989,1
SRR11141429,1
SRR11130276,1
SRR8722339,1
SRR3661590,1
ERR506022,1
ERR425470,1
SRR7190336,1
ERR586433,1
SRR8725468,1
SRR7189771,1
SRR7176068,1
SRR3662471,1
SRR8725825,1
SRR8722701,1
SRR7183844,1
ERR586414,1
SRR3661698,1
ERR425367,1
SRR11130298,1
SRR11141234,1
ERR433718,1
